,vuosi,aika,Kallio2,Vartiokyl채,M채kel채nkatu2,Mannerheimintie,Tikkurila3,Lepp채vaara4
0,2014,0,200,42,341,280,66,123
1,2014,100,158,24,178,207,52,75
2,2014,200,112,16,124,163,40,65
3,2014,300,111,25,96,153,32,63
4,2014,400,203,48,199,167,31,87
5,2014,500,645,183,565,465,143,327
6,2014,600,1514,727,1829,1453,542,1706
7,2014,700,2430,1254,2774,1992,961,3198
8,2014,800,2289,1069,3093,2180,844,3424
9,2014,900,2148,654,2379,1965,656,2271
10,2014,1000,2022,525,2038,1884,631,1629
11,2014,1100,2132,552,2181,1896,711,1702
12,2014,1200,2134,644,2291,1957,691,1706
13,2014,1300,2354,662,2324,1967,699,1815
14,2014,1400,2618,763,2525,2221,829,2092
15,2014,1500,2762,1323,3375,2422,1041,3264
16,2014,1600,2717,1434,3354,2308,1200,3431
17,2014,1700,2539,991,2836,2015,1036,2904
18,2014,1800,2031,826,2331,1812,931,2240
19,2014,1900,1586,669,1835,1575,806,1665
20,2014,2000,1468,497,1654,1386,611,1402
21,2014,2100,957,328,1125,1163,471,1022
22,2014,2200,696,164,775,667,245,858
23,2014,2300,415,88,527,463,140,268
24,2016,0,337,40,401,307,87,132
25,2016,100,227,33,211,230,58,88
26,2016,200,185,27,109,166,29,62
27,2016,300,141,21,104,159,21,65
28,2016,400,192,49,209,166,50,104
29,2016,500,366,176,620,384,118,366
30,2016,600,1122,772,2046,1258,434,1725
31,2016,700,2000,1289,2937,1850,879,3277
32,2016,800,2476,1093,3289,2186,851,3410
33,2016,900,2202,644,2834,2099,644,2160
34,2016,1000,1952,587,2143,1880,599,1593
35,2016,1100,2006,584,2315,1852,672,1729
36,2016,1200,2056,643,2340,1992,674,1797
37,2016,1300,2080,658,2365,1964,742,1837
38,2016,1400,2301,838,2788,2165,826,2193
39,2016,1500,2841,1375,3556,2422,1128,3200
40,2016,1600,2663,1440,3655,2376,1276,3286
41,2016,1700,2423,1233,2972,2198,996,2912
42,2016,1800,2180,859,2400,1918,874,2094
43,2016,1900,1655,714,1928,1618,694,1599
44,2016,2000,1612,576,1692,1431,578,1445
45,2016,2100,1292,313,1155,1212,438,1124
46,2016,2200,770,209,807,793,213,640
47,2016,2300,507,89,609,478,132,283
